,Dynamatic Technologies Limited.,Dynamatic Aerospace,January,,,85,143046
,Emerson Process Management (India) PVT. LTD,Emerson,January,,,80,135486
,Encube Ethicals Pvt Ltd,Encube,January,,,9,30015
,Eximius Infra Tech Solutions LLP.Unit 8-P,Eximius Infratech,January,,,16,26734
,Fairfield Atlas Limited,Fairfield,January,,,150,272554
,Fenace Auto Limited,Fenace Auto,January,,,14,34465
,Fleetguard Filters Private Limited,Fleetguard,January,,,78,119670
,FRISTAM PUMPS (I) PVT. LTD.,Fristam Pumps,January,,,4,10651
,Gabriel India Limited,Gabriel EL,January,,,2,3146
,Gabriel India Limited -,Gabriel NEEM Main Plant,January,,,24,42040
,Gabriel India Limited.,Gabriel NEEM,January,,,30,62509
,Garware Technical Fibres Limited,Garware Wai,January,,,122,153632
,Gestamp automotive India Pvt Ltd,Gestamp,January,,,30,32252
,Grupo Antolin India Private Limited,Grupo,January,,,35,58038
,Hager Electro Private Limited Plant 2,Hager Plant 2,January,,,69,148427
,Haier Appliance India Pvt Ltd,Haier,January,,,123,215715
,Harman International India Pvt Ltd,Harman,January,,,105,165834
,Harman International India Pvt Ltd.,Harman NEEM,January,,,104,266424
,Herman Miller Furniture (India) Pvt Ltd,Herman Miller,January,,,16,42677
,Hical Technologies Pvt. Ltd,Hical EC3,January,,,10,424150
,Hical Technologies Pvt. Ltd.,Hical E1,January,,,183,24095
,Hyundai Construction Equipment India Ltd,Hyundai EL,January,,,4,11800
,HYUNDAI STEEL PIPE INDIA PRIVATE LIMITED,Hyundai Steel,January,,,171,185438
,IFB Industrial Ltd,IFB,January,,,236,323244
,IMPRESS CONTAINERS COMPANY,Impress,January,,,17,27870
,India Kawasaki Motors Pvt. Ltd.,India Kawasaki,January,,,11,24018
,Indiana Gratings Pvt Ltd,Indiana,January,,,87,89966
,Indo Schottle Auto Parts pvt Ltd,Indo SEZ,January,,,155,319007
,"Indo Schottle Auto Parts pvt Ltd,",Indo Honga,January,,,0,0
,Interflex Electronics India Private Limited,Interflex,January,,,24,70194
,ITC Food Limited,ITC,January,,,65,111660
,ITC FOOD PVT LTD .,ITC Uluberia,January,,,36,36789
,ITC Limited,ITC Kolkata,January,,,18,73862
,Jabil Circuit India Pvt Ltd,Jabil,January,,,357,544633
,Jayashree Electro Devices Pvt Ltd,Jayshree Eletrodevices,January,,,10,19709
,Jayashree Encoders Pvt Ltd,Jayshree Encoders,January,,,15,38380
,Jayshree Electron Pvt Ltd,Jayshree Electron,January,,,33,79828
,JK Precision And Tools,JK Precision,January,,,16,29384
,Kemwell Biopharm Pvt Ltd,Kemwell,January,,,14,31301
,Kern-Liebers( India) Pvt Ltd,Kern Lieber,January,,,95,231119
,Kingfa Science & Technology (India) Limited,Kingfa Chakan,January,,,53,74859
,Kingfa Science & Technology(India) Ltd,Kingfa,January,,,35,62841
,Kirloskar Ferrous Industries Ltd.,KFIL NEEM,January,,,184,346470
,Konecranes and Demag Private Limited,Konecranes,January,,,34,64658
,Kosei Minda Alumiun Company Pvt Ltd,Kosei Minda,January,,,5,1884
,KSPG Automotive India Private Ltd. - Division Bearings,KSPG Supa,January,,,7,9912
,KSPG Automotive India Pvt Ltd,KSPG,January,,,65,147138
,KSPG Automotive India Pvt Ltd,KSPG Mechatronics,January,,,11,24324
,LEONI Cable Solutions (India) PVT LTD,Leoni Cables,January,,,40,96462
,LEONI Wiring Systems (Pune) Pvt Ltd,Leoni Wiring,January,,,47,50576
,LG Electronics India Pvt Ltd,LG,January,,,424,1048949
,Lumax Auto Technologies Ltd,Lumax Kolar,January,,,198,286879
,Lumax Industries Ltd,Lumax Bidadi,January,,,76,141465
,Lumiere Coolants Ltd,Lumiere,January,,,30,45685
,M/S. Schneider Electric India Pvt Limited,Schneider Chennai,January,,,235,575498
,Magellan Aerospace (India) Private Limited,Magellan,January,,,2,3750
,Magneti Marelli Motherson Auto Systems Limited,MMM NEEM,January,,,72,82552
,Mahindra CIE Automotive Limited (Gears Division),Mahindra CIE Rajkot,January,,,24,45796
,MAHINDRA CIE Automotive Ltd-,MHL Urse NEEM,January,,,280,416761
,MAHINDRA CIE Automotive Ltd.,MHL Bhosari,January,,,309,653724
,Mahindra CIE Automotive Ltd. (Gear Division Pune),Mahindra Gear,January,,,99,290309
,Mahindra Sanyo Special Steel Pvt. Ltd,MSSL,January,,,29,51330
,Mahindra Sanyo Special Steel Pvt. Ltd .,MSSL NEEM,January,,,16,38940
,Mars International India Pvt. Ltd.,Mars,January,,,14,49442
,Maxion Wheels Aluminum India Private Limited,Maxion,January,,,135,192399
,Menon & Menon Limited,Menon EL,January,,,19,49438
,Menon & Menon Limited -,Menon NEEM,January,,,205,262187
