Company_ID,Name_of_Company,Months,Services,Unit,Invoice_Value,IPP
Durovalves,Durovalves India Pvt Ltd,January,,205,205441,0.0
Dynamatic Aerospace,Dynamatic Technologies Li,January,,85,143046,0.0
Eximius Infratech,Eximius Infra Tech Soluti,January,,16,26734,0.0
Fairfield,Fairfield Atlas Limited,January,,150,272554,0.0
Fairfield,Fairfield Atlas Limited,January,,150,272554,0.0
Fenace Auto,Fenace Auto Limited,January,,14,34465,0.0
Garware Wai,Garware Technical Fibres ,January,,122,153632,0.0
Grupo,Grupo Antolin India Priva,January,,35,58038,0.0
Hager Plant 2,Hager Electro Private Lim,January,,69,148427,0.0
Herman Miller,Herman Miller Furniture (,January,,16,42677,0.0
Harman NEEM,Harman International Indi,January,,104,266424,0.0
Walvoil,WALVOIL FLUID POWER INDIA,January,,63,146758,0.0
Hical EC3,Hical Technologies Pvt. L,January,,10,424150,0.0
Hical E1,Hical Technologies Pvt. L,January,,183,24095,0.0
Hyundai Steel,HYUNDAI STEEL PIPE INDIA ,January,,171,185438,0.0
IFB,IFB Industrial Ltd,January,,236,323244,0.0
Indiana,Indiana Gratings Pvt Ltd,January,,87,89966,0.0
India Kawasaki,India Kawasaki Motors Pvt,January,,11,24018,0.0
Indo Honga,Indo Schottle Auto Parts ,January,,0,0,0.0
Indo Honga,Indo Schottle Auto Parts ,January,,0,0,0.0
Indo SEZ,Indo Schottle Auto Parts ,January,,155,319007,0.0
ITC,ITC Food Limited,January,,65,111660,0.0
Jabil,Jabil Circuit India Pvt L,January,,357,544633,0.0
Jabil,Jabil Circuit India Pvt L,January,,357,544633,0.0
Jayshree Electron,Jayshree Electron Pvt Ltd,January,,33,79828,0.0
Jayshree Eletrodevices,Jayashree Electro Devices,January,,10,19709,0.0
Jayshree Encoders,Jayashree Encoders Pvt Lt,January,,15,38380,0.0
JK Precision,JK Precision And Tools,January,,16,29384,0.0
Kern Lieber,Kern-Liebers( India) Pvt ,January,,95,231119,0.0
Kemwell,Kemwell Biopharm Pvt Ltd,January,,14,31301,0.0
KFIL NEEM,Kirloskar Ferrous Industr,January,,184,346470,0.0
KFIL NEEM,Kirloskar Ferrous Industr,January,,184,346470,0.0
Kosei Minda,Kosei Minda Alumiun Compa,January,,5,1884,0.0
Konecranes,Konecranes and Demag Priv,January,,34,64658,0.0
KSPG,KSPG Automotive India Pvt,January,,65,147138,0.0
KSPG Supa,KSPG Automotive India Pri,January,,7,9912,0.0
KSPG Mechatronics,KSPG Automotive India Pvt,January,,11,24324,0.0
KSPG,KSPG Automotive India Pvt,January,,65,147138,0.0
KSPG Supa,KSPG Automotive India Pri,January,,7,9912,0.0
KSPG Mechatronics,KSPG Automotive India Pvt,January,,11,24324,0.0
Lumax Kolar,Lumax Auto Technologies L,January,,198,286879,0.0
Lumax Kolar,Lumax Auto Technologies L,January,,198,286879,0.0
Lumax Kolar,Lumax Auto Technologies L,January,,198,286879,0.0
Lumax Bidadi,Lumax Industries Ltd,January,,76,141465,0.0
MHL Urse NEEM,MAHINDRA CIE Automotive L,January,,280,416761,0.0
Mahindra Gear,Mahindra CIE Automotive L,January,,99,290309,0.0
Mahindra CIE Rajkot,Mahindra CIE Automotive L,January,,24,45796,0.0
Magellan,Magellan Aerospace (India,January,,2,3750,0.0
Maxion,Maxion Wheels Aluminum In,January,,135,192399,0.0
Menon NEEM,Menon & Menon Limited -,January,,205,262187,0.0
Menon Kagal NEEM,Menon & Menon Limited..,January,,54,85229,0.0
Minda Hosur,Minda Industries Ltd,January,,187,408673,0.0
Minda Lighting,Minda Industries Ltd (Lig,January,,89,136085,0.0
Minda Switch Div,Minda Industries Ltd (Swi,January,,82,207547,0.0
Minda Sensor 2,Minda Industries Ltd (Sen,January,,16,28568,0.0
Minda Chennai,MINDA INDUSTRIES LTD (LIG,January,,43,93919,0.0
Mitsuba,Mitsuba Sical India Priva,January,,48,89807,0.0
MINDA KATOOLEC,MINDA KATOOLEC ELECTRONIC,January,,50,84860,0.0
Minda Kyoraku,MINDA KYORAKU LIMITED,January,,13,27434,0.0
Mutual Shikrapur,MUTUAL AUTOMOTIVE PRIVATE,January,,70,74794,0.0
Mutual Sanaswadi.,MUTUAL AUTOMOTIVE PRIVATE,January,,28,57222,0.0
Schneider Chennai,M/S. Schneider Electric I,January,,235,575498,0.0
Metro Cash DC 26,Metro Cash and Carry Indi,January,,11,18174,0.0
Metro Cash DC 19,Metro Cash and Carry Indi,January,,112,233446,0.0
Metro Cash DC 10,Metro Cash and Carry Indi,January,,149,243713,0.0
Metro Cash DC 11,Metro Cash and Carry Indi,January,,123,200466,0.0
Metro Cash DC 18,Metro Cash and Carry Indi,January,,102,171339,0.0
Metro Cash DC 27,Metro Cash and Carry Indi,January,,20,29195,0.0
Metro Cash DC 60,Metro Cash and Carry Indi,January,,83,126739,0.0
Metro Cash DC 29,Metro Cash and Carry Indi,January,,89,160834,0.0
Metro Cash DC 15,Metro Cash and Carry Indi,January,,68,103598,0.0
Metro Cash DC 12,Metro Cash and Carry Indi,January,,102,176321,0.0
Metro Cash DC 25,Metro Cash and Carry Indi,January,,115,78463,0.0
Metro Cash DC 24,Metro Cash and Carry Indi,January,,66,124470,0.0
Metro DC 52,Metro Cash and Carry Indi,January,,47,97564,0.0
Metro Cash DC 16,Metro Cash and Carry Indi,January,,146,121192,0.0
Metro Cash DC 47,Metro Cash and Carry Indi,January,,47,73052,0.0
Metro Cash DC 53,Metro Cash and Carry Indi,January,,41,67417,0.0
Metro Cash DC 45,Metro Cash and Carry Indi,January,,45,62914,0.0
Metro Cash DC 46,Metro Cash and Carry Indi,January,,71,166378,0.0
Metro Cash DC 43,Metro Cash and Carry Indi,January,,48,69168,0.0
Metro Cash DC 17,Metro Cash and Carry Indi,January,,107,205092,0.0
Metro Cash DC 32,Metro Cash and Carry Indi,January,,65,100453,0.0
Metro Cash DC 28,METRO Cash & Carry India ,January,,13,19895,0.0
Metro Cash DC 48,Metro Cash and Carry Indi,January,,46,73355,0.0
Metro Cash DC 54,Metro Cash and Carry Indi,January,,52,93375,0.0
Mivin Engg,Mivin Engg Technologies P,January,,21,38230,0.0
Nipro,Nipro India Corporation P,January,,441,634527,0.0
Nipro Pharma,Nipro Pharma Packaging In,January,,68,174488,0.0
Norma,Norma Group Products Indi,January,,27,59018,0.0
Nexteer,Nexteer Automotive India ,January,,24,49557,0.0
Nexteer Pune,Nexteer Automotive India ,January,,4,6814,0.0
MSSL NEEM,Mahindra Sanyo Special St,January,,16,38940,0.0
Ohsung,Ohsung Electronics India ,January,,87,204366,0.0
Otto Bilz,Otto Bilz India Pvt Ltd,January,,5,9809,0.0
