Company_ID,Name_of_Company,Unit,IPP
Hyundai Steel,HYUNDAI STEEL PIPE INDIA ,4830,564.0
IFB,IFB Industrial Ltd,5661,1323.0
Impress,IMPRESS CONTAINERS COMPAN,363,189.0
India Kawasaki,India Kawasaki Motors Pvt,262,213.0
Indiana,Indiana Gratings Pvt Ltd,2286,798.0
Indo SEZ,Indo Schottle Auto Parts ,4399,1544.0
Indo Honga,Indo Schottle Auto Parts ,0,0.0
Indo Honga,Indo Schottle Auto Parts ,0,0.0
Interflex,Interflex Electronics Ind,664,154.0
ITC,ITC Food Limited,1642,578.0
ITC Uluberia,ITC FOOD PVT LTD .,1044,551.0
ITC Kolkata,ITC Limited,520,268.0
Jabil,Jabil Circuit India Pvt L,9535,2226.0
Jabil,Jabil Circuit India Pvt L,9535,2226.0
Jayshree Eletrodevices,Jayashree Electro Devices,266,213.0
Jayshree Encoders,Jayashree Encoders Pvt Lt,440,354.0
Jayshree Electron,Jayshree Electron Pvt Ltd,951,756.0
JK Precision,JK Precision And Tools,312,70.0
Kemwell,Kemwell Biopharm Pvt Ltd,343,77.0
Kern Lieber,Kern-Liebers( India) Pvt ,2657,1402.0
Kingfa Chakan,Kingfa Science & Technolo,942,488.0
Kingfa,Kingfa Science & Technolo,503,268.0
KFIL NEEM,Kirloskar Ferrous Industr,4105,2158.0
KFIL NEEM,Kirloskar Ferrous Industr,4105,2158.0
Konecranes,Konecranes and Demag Priv,933,732.0
Kosei Minda,Kosei Minda Alumiun Compa,33,10.0
KSPG Supa,KSPG Automotive India Pri,120,63.0
KSPG Supa,KSPG Automotive India Pri,120,63.0
KSPG,KSPG Automotive India Pvt,1806,945.0
KSPG Mechatronics,KSPG Automotive India Pvt,294,158.0
KSPG,KSPG Automotive India Pvt,1806,945.0
KSPG Mechatronics,KSPG Automotive India Pvt,294,158.0
Leoni Cables,LEONI Cable Solutions (In,977,520.0
Leoni Wiring,LEONI Wiring Systems (Pun,753,394.0
LG,LG Electronics India Pvt ,9494,3318.0
LG,LG Electronics India Pvt ,9494,3318.0
LG,LG Electronics India Pvt ,9494,3318.0
LG,LG Electronics India Pvt ,9494,3318.0
LG,LG Electronics India Pvt ,9494,3318.0
LG,LG Electronics India Pvt ,9494,3318.0
LG,LG Electronics India Pvt ,9494,3318.0
Lumax Kolar,Lumax Auto Technologies L,4461,2347.0
Lumax Kolar,Lumax Auto Technologies L,4461,2347.0
Lumax Kolar,Lumax Auto Technologies L,4461,2347.0
Lumax Bidadi,Lumax Industries Ltd,2025,1071.0
Lumiere,Lumiere Coolants Ltd,889,315.0
Schneider Chennai,M/S. Schneider Electric I,6732,1568.0
Schneider Chennai,M/S. Schneider Electric I,6732,1568.0
Magellan,Magellan Aerospace (India,60,14.0
MMM NEEM,Magneti Marelli Motherson,1455,1158.0
Mahindra CIE Rajkot,Mahindra CIE Automotive L,653,520.0
MHL Urse NEEM,MAHINDRA CIE Automotive L,5895,2058.0
MHL Urse NEEM,MAHINDRA CIE Automotive L,5895,2058.0
MHL Urse NEEM,MAHINDRA CIE Automotive L,5895,2058.0
MHL Urse NEEM,MAHINDRA CIE Automotive L,5895,2058.0
MHL Bhosari,MAHINDRA CIE Automotive L,8067,4237.0
MHL Bhosari,MAHINDRA CIE Automotive L,8067,4237.0
Mahindra Gear,Mahindra CIE Automotive L,1988,1040.0
,Mahindra CIE Automotive L,148,79.0
MSSL,Mahindra Sanyo Special St,863,152.0
MSSL NEEM,Mahindra Sanyo Special St,458,79.0
Mars,Mars International India ,419,49.0
Maxion,Maxion Wheels Aluminum In,3261,1144.0
Menon EL,Menon & Menon Limited,450,532.0
Menon NEEM,Menon & Menon Limited,3992,4713.0
Menon Kagal NEEM,Menon & Menon Limited,1300,1524.0
Menon NEEM,Menon & Menon Limited,3992,4713.0
Menon NEEM,Menon & Menon Limited,3992,4713.0
Menon NEEM,Menon & Menon Limited -,3992,4713.0
Menon Kagal EL,Menon & Menon Limited.,52,71.0
Menon Kagal NEEM,Menon & Menon Limited.,1300,1524.0
Menon Kagal NEEM,Menon & Menon Limited..,1300,1524.0
Menon Piston EL,Menon Pistons Ltd,118,94.0
Mercedes,Mercedes Benz,360,42.0
Mercedes Blue Collar,Mercedes Benz,360,42.0
MFL,Metalyst Forging Ltd,179,213.0
Metro Cash DC 28,METRO Cash & Carry India ,349,42.0
Metro Cash DC 16,Metro Cash and Carry Indi,3697,1292.0
Metro Cash DC 47,Metro Cash and Carry Indi,1300,677.0
Metro Cash DC 53,Metro Cash and Carry Indi,1206,140.0
Metro Cash DC 60,Metro Cash and Carry Indi,2208,518.0
Metro Cash DC 10,Metro Cash and Carry Indi,3982,931.0
Metro Cash DC 11,Metro Cash and Carry Indi,3273,763.0
Metro Cash DC 12,Metro Cash and Carry Indi,2089,1102.0
Metro Cash DC 15,Metro Cash and Carry Indi,1319,462.0
Metro Cash DC 17,Metro Cash and Carry Indi,2584,602.0
Metro Cash DC 18,Metro Cash and Carry Indi,2867,672.0
Metro Cash DC 19,Metro Cash and Carry Indi,1951,455.0
Metro Cash DC 24,Metro Cash and Carry Indi,330,116.0
