Duroshox Pvt Ltd,Duroshox,NEEM,42,4738
Durovalves India Pvt Ltd,Durovalves,NEEM,3917.69,205441
Dynamatic Technologies Limited.,Dynamatic Aerospace,NEEM,2424.5,143046
Emerson Process Management (India) PVT. LTD,Emerson,EL,1653.5,135486
Encube Ethicals Pvt Ltd,Encube,EL,252,30015
Eximius Infra Tech Solutions LLP.Unit 8-P,Eximius Infratech,NEEM,367,26734
Fairfield Atlas Limited,Fairfield,NEEM,2902.5,272554
Fenace Auto Limited,Fenace Auto,NEEM,422.5,34465
Fleetguard Filters Private Limited,Fleetguard,NEEM,2092,119670
FRISTAM PUMPS (I) PVT. LTD.,Fristam Pumps,NEEM,117.5,10651
Gabriel India Limited,Gabriel EL,EL,50,3146
Gabriel India Limited -,Gabriel NEEM Main Plant,NEEM,588.5,42040
Gabriel India Limited.,Gabriel NEEM,NEEM,926,62509
Garware Technical Fibres Limited,Garware Wai,NEEM,1834.5,153632
Gestamp automotive India Pvt Ltd,Gestamp,NEEM,582.5,32252
Grupo Antolin India Private Limited,Grupo,NEEM,489.3,58038
Hager Electro Private Limited Plant 2,Hager Plant 2,NEEM,3968,148427
Haier Appliance India Pvt Ltd,Haier,NEEM,2260,215715
Harman International India Pvt Ltd,Harman,EL,2709.5,165834
Harman International India Pvt Ltd.,Harman NEEM,NEEM,2921,266424
Herman Miller Furniture (India) Pvt Ltd,Herman Miller,NEEM,469,42677
Hical Technologies Pvt. Ltd,Hical EC3,NEEM,304,424150
Hical Technologies Pvt. Ltd.,Hical E1,NEEM,5351,24095
Hyundai Construction Equipment India Ltd,Hyundai EL,EL,113.5,11800
HYUNDAI STEEL PIPE INDIA PRIVATE LIMITED,Hyundai Steel,NEEM,4830,185438
IFB Industrial Ltd,IFB,NEEM,5661,323244
IMPRESS CONTAINERS COMPANY,Impress,NEEM,363,27870
India Kawasaki Motors Pvt. Ltd.,India Kawasaki,NEEM,262,24018
Indiana Gratings Pvt Ltd,Indiana,NEEM,2286.5,89966
Indo Schottle Auto Parts pvt Ltd,Indo SEZ,NEEM,4399.5,319007
"Indo Schottle Auto Parts pvt Ltd,",Indo Honga,NEEM,0,0
Interflex Electronics India Private Limited,Interflex,NEEM,664.5,70194
ITC Food Limited,ITC,NEEM,1642,111660
ITC FOOD PVT LTD .,ITC Uluberia,NEEM,1044,36789
ITC Limited,ITC Kolkata,NEEM,520,73862
Jabil Circuit India Pvt Ltd,Jabil,NEEM,9535,544633
Jayashree Electro Devices Pvt Ltd,Jayshree Eletrodevices,NEEM,266,19709
Jayashree Encoders Pvt Ltd,Jayshree Encoders,NEEM,440,38380
Jayshree Electron Pvt Ltd,Jayshree Electron,NEEM,951.5,79828
JK Precision And Tools,JK Precision,NEEM,312,29384
Kemwell Biopharm Pvt Ltd,Kemwell,NEEM,343,31301
Kern-Liebers( India) Pvt Ltd,Kern Lieber,NEEM,2657,231119
Kingfa Science & Technology (India) Limited,Kingfa Chakan,NEEM,942.5,74859
Kingfa Science & Technology(India) Ltd,Kingfa,NEEM,503.5,62841
Kirloskar Ferrous Industries Ltd.,KFIL NEEM,NEEM,4105.5,346470
Konecranes and Demag Private Limited,Konecranes,NEEM,933,64658
Kosei Minda Alumiun Company Pvt Ltd,Kosei Minda,NEEM,33,1884
KSPG Automotive India Private Ltd. - Division Bearings,KSPG Supa,NEEM,120,9912
KSPG Automotive India Pvt Ltd,KSPG,NEEM,1806,147138
KSPG Automotive India Pvt Ltd,KSPG Mechatronics,NEEM,294.5,24324
LEONI Cable Solutions (India) PVT LTD,Leoni Cables,NEEM,977,96462
LEONI Wiring Systems (Pune) Pvt Ltd,Leoni Wiring,NEEM,753,50576
LG Electronics India Pvt Ltd,LG,NEEM,9494,1048949
Lumax Auto Technologies Ltd,Lumax Kolar,NEEM,4461,286879
Lumax Industries Ltd,Lumax Bidadi,NEEM,2025,141465
Lumiere Coolants Ltd,Lumiere,NEEM,889,45685
M/S. Schneider Electric India Pvt Limited,Schneider Chennai,NEEM,6732,575498
Magellan Aerospace (India) Private Limited,Magellan,NEEM,60,3750
Magneti Marelli Motherson Auto Systems Limited,MMM NEEM,NEEM,1455.5,82552
Mahindra CIE Automotive Limited (Gears Division),Mahindra CIE Rajkot,NEEM,653.5,45796
MAHINDRA CIE Automotive Ltd-,MHL Urse NEEM,NEEM,5895,416761
MAHINDRA CIE Automotive Ltd.,MHL Bhosari,NEEM,8067,653724
