Company_ID,Name_of_Company,Unit,IPP
Mitsuba,Mitsuba Sical India Priva,1428,756
MINDA KATOOLEC,MINDA KATOOLEC ELECTRONIC,1393,724
Minda Kyoraku,MINDA KYORAKU LIMITED,323,260
Mutual Shikrapur,MUTUAL AUTOMOTIVE PRIVATE,914,709
Schneider Chennai,M/S. Schneider Electric I,6732,1568
Metro Cash DC 26,Metro Cash and Carry Indi,3037,707
Metro Cash DC 28,METRO Cash & Carry India ,349,42
Mivin Engg,Mivin Engg Technologies P,607,140
Nipro,Nipro India Corporation P,12233,4284
Nipro Pharma,Nipro Pharma Packaging In,2083,724
Norma,Norma Group Products Indi,702,362
Nexteer,Nexteer Automotive India ,720,252
Ohsung,Ohsung Electronics India ,2065,1087
Otto Bilz,Otto Bilz India Pvt Ltd,130,42
Owari,Owari Precision Products ,1644,385
Premium,Premium Transmission Limi,2443,1914
Precision Plastic,Precision Plastic Enginee,318,173
PPG,PPG ASIAN PAINTS PRIVATE ,1463,514
Paras,Paras Power Engineering P,421,496
Plansee,Plansee India High Perfor,564,133
Rao Nursing,Rao Nursing Home,740,262
R Vision,R-Vision Plastic Industri,31,24
Recipharma,Recipharm Pharmaservices ,1262,441
Renata Karandi,RENATA PRECISION COMPONEN,3195,1124
Renata Sector 7,Renata Precision Componen,438,158
Rinder Chakan,RINDER INDIA PVT. LTD.,672,780
Minda Rinder Hosur,Minda Rinder Private Limi,2206,2622
Rokiminda,ROKIMINDA CO PRIVATE LTD,2128,746
San & San,San and San Auto Private ,311,354
Selec Control,Selec Control Pvt Ltd,1169,410
Selec EL 67,Selec Control Pvt Ltd.,1027,357
SFO,SFO Technologies Pvt Ltd,153,35
Schneider Hyderabad,Schneider Electric India ,9494,7466
Schneider Banglore,Schneider Electric IT Bus,4039,945
Schneider Vadodara,Schneider Electric Infras,29,4
Schneider SEPFC,Schneider Electric SEPFC,6174,1442
Schneider President,SCHNEIDER ELECTRIC PRESID,1467,343
Shivam,Shivam Autotech Ltd,637,496
Shubhra,Shubhra Plastics Private ,1218,969
Stanley Lifestyle,Stanley Lifestyles Limite,1078,378
Stanley Sofas,STANLEY OEM SOFAS LTD,942,163
Stanzen,Stanzen Engineering Pvt L,1571,364
Sulzer NEEM,Sulzer India Pvt. Ltd.,124,63
Schmetz,Schmetz India Private Lim,515,119
Seltech,SELTECH SALES & SERVICES,2407,1260
Senapathy,Senapathy Whiteley Pvt Lt,1332,308
Shirodkar,SHIRODKAR PRECI COMP PVT ,270,213
Sujan,Sujan Cooper Standard AVS,582,673
Saehan Stamping,Saehan Stamping Private L,3353,1764
Tata Hitachi,Tata Hitachi Construction,2900,679
Thyssenkrupp,Thyssenkrupp Elevator (In,581,200
TMEIC PE Unit,TMEIC INDUSTRIAL SYSTEMS ,2813,658
TMEIC RM Unit,TMEIC Industrial Systems ,7778,1813
Tokai Rika,Tokai Rika Minda India Pv,6014,1400
Toyota Boshoku,Toyota Boshoku Automotive,9039,2107
Toyota Engine,Toyota Industries Engine ,8521,1988
Toyota Boshoku Hosur,TOYOTA BOSHOKU AUTOMOTIVE,1004,231
Toyoda Gosei,TOYODA GOSEI SOUTH INDIA ,2492,581
Toyotetsu,Toyotetsu India Private L,3128,728
Unibic,Unibic Foods India Privat,543,284
VEPL_V,Varroc Engineering Pvt Lt,2910,1528
Varroc Chennai,Varroc Engineering Pvt. L,319,173
VPPL II,Varroc Polymers Pvt Ltd -,2539,1339
Varsa Plastic,Varsa Plastic Industries ,1580,1252
Varroc AMD,Varroc Engineering Ltd - ,356,189
VEPL I,Varroc Engineering Ltd Pl,2813,1480
VEPL II,Varroc Engineering Ltd Un,3808,1334
Varroc Chakan,Varroc Polymers Pvt Ltd (,145,79
Visteon,Visteon Electronics India,3379,396
Wipro,Wipro Kawasaki Precision ,1704,399
Western Heat Bhosari,Western Heat And Forge Pv,103,106
Yagachi,Yagachi Technologies Pvt ,2568,903
Yuken Malur,Yuken India Limited,1131,266
Yash Precision,Yash Precision Plastics P,107,63
Zamil Steel,Zamil Steel Buildings Ind,638,496
